randomtestadventurer.c:
Testing Adventurer...
Seed: 1635127377, test failed, incorrect number of cards in hand.
Seed: 516387104, test failed, incorrect number of cards in hand.
Seed: 639021856, test failed, incorrect number of cards in hand.
Seed: 706264632, test failed, incorrect number of cards in hand.
Seed: 823048640, test failed, incorrect number of cards in hand.
Seed: 962701291, test failed, incorrect number of cards in hand.
Seed: 1031583658, test failed, incorrect number of cards in hand.
Seed: 116855228, test failed, incorrect number of cards in hand.
Seed: 867862093, test failed, incorrect number of cards in hand.
Seed: 943316000, test failed, incorrect number of cards in hand.
Seed: 1690491407, test failed, incorrect number of cards in hand.
Seed: 1784683182, test failed, incorrect number of cards in hand.
Seed: 1327880558, test failed, incorrect number of cards in hand.
Seed: 244193567, test failed, incorrect number of cards in hand.
Seed: 1859022421, test failed, incorrect number of cards in hand.
Seed: 457409717, test failed, incorrect number of cards in hand.
Seed: 562134623, test failed, incorrect number of cards in hand.
Seed: 1278963013, test failed, incorrect number of cards in hand.
Seed: 1000131608, test failed, incorrect number of cards in hand.
Seed: 200263966, test failed, incorrect number of cards in hand.
Seed: 572539830, test failed, incorrect number of cards in hand.
Seed: 2125548202, test failed, incorrect number of cards in hand.
Seed: 1697510660, test failed, incorrect number of cards in hand.
Seed: 1103442997, test failed, incorrect number of cards in hand.
Seed: 1672465721, test failed, incorrect number of cards in hand.
Seed: 1211352325, test failed, incorrect number of cards in hand.
Seed: 1307580388, test failed, incorrect number of cards in hand.
Seed: 892801927, test failed, incorrect number of cards in hand.
Seed: 1084540423, test failed, incorrect number of cards in hand.
Seed: 183562274, test failed, incorrect number of cards in hand.
Seed: 1033235977, test failed, incorrect number of cards in hand.
Seed: 226492634, test failed, incorrect number of cards in hand.
Seed: 593798129, test failed, incorrect number of cards in hand.
Seed: 479975998, test failed, incorrect number of cards in hand.
Seed: 66107322, test failed, incorrect number of cards in hand.
Seed: 544533876, test failed, incorrect number of cards in hand.
Seed: 1218887528, test failed, incorrect number of cards in hand.
Seed: 395553862, test failed, incorrect number of cards in hand.
Seed: 1615764368, test failed, incorrect number of cards in hand.
Seed: 1344590717, test failed, incorrect number of cards in hand.
Seed: 1196329208, test failed, incorrect number of cards in hand.
Seed: 1912521197, test failed, incorrect number of cards in hand.
Seed: 331669069, test failed, incorrect number of cards in hand.
Seed: 844900589, test failed, incorrect number of cards in hand.
Seed: 755361079, test failed, incorrect number of cards in hand.
Seed: 1749502135, test failed, incorrect number of cards in hand.
Seed: 1257996559, test failed, incorrect number of cards in hand.
Seed: 102195607, test failed, incorrect number of cards in hand.
Seed: 236994506, test failed, incorrect number of cards in hand.
Seed: 1380799128, test failed, incorrect number of cards in hand.
Seed: 1357045840, test failed, incorrect number of cards in hand.
Seed: 1996079362, test failed, incorrect number of cards in hand.
Seed: 1977474390, test failed, incorrect number of cards in hand.
Seed: 1961509985, test failed, incorrect number of cards in hand.
Seed: 247651228, test failed, incorrect number of cards in hand.
Seed: 1042819637, test failed, incorrect number of cards in hand.
Seed: 1185613680, test failed, incorrect number of cards in hand.
Seed: 586909669, test failed, incorrect number of cards in hand.
Seed: 582711409, test failed, incorrect number of cards in hand.
Seed: 162521680, test failed, incorrect number of cards in hand.
Seed: 2095906203, test failed, incorrect number of cards in hand.
Seed: 536948509, test failed, incorrect number of cards in hand.
Seed: 59265852, test failed, incorrect number of cards in hand.
Seed: 1982169082, test failed, incorrect number of cards in hand.
Seed: 51672890, test failed, incorrect number of cards in hand.
Seed: 1557128939, test failed, incorrect number of cards in hand.
Seed: 1693407983, test failed, incorrect number of cards in hand.
Seed: 1354730723, test failed, incorrect number of cards in hand.
Seed: 1245087445, test failed, incorrect number of cards in hand.
Seed: 732862572, test failed, incorrect number of cards in hand.
Seed: 2051542816, test failed, incorrect number of cards in hand.
Seed: 448369397, test failed, incorrect number of cards in hand.
Seed: 1578864813, test failed, incorrect number of cards in hand.
Seed: 751922508, test failed, incorrect number of cards in hand.
Seed: 22992444, test failed, incorrect number of cards in hand.
Seed: 71204648, test failed, incorrect number of cards in hand.
Seed: 1534968202, test failed, incorrect number of cards in hand.
Seed: 1914761807, test failed, incorrect number of cards in hand.
Seed: 416722382, test failed, incorrect number of cards in hand.
Seed: 2060069405, test failed, incorrect number of cards in hand.
Seed: 1105264234, test failed, incorrect number of cards in hand.
Seed: 199386497, test failed, incorrect number of cards in hand.
Seed: 1084042976, test failed, incorrect number of cards in hand.
Seed: 24396321, test failed, incorrect number of cards in hand.
Seed: 589536363, test failed, incorrect number of cards in hand.
Seed: 1427520973, test failed, incorrect number of cards in hand.
Seed: 1345895996, test failed, incorrect number of cards in hand.
Seed: 1509618500, test failed, incorrect number of cards in hand.
Seed: 1495445372, test failed, incorrect number of cards in hand.
Seed: 2091978382, test failed, incorrect number of cards in hand.
Seed: 712744946, test failed, incorrect number of cards in hand.
Seed: 1805865970, test failed, incorrect number of cards in hand.
Seed: 1076811939, test failed, incorrect number of cards in hand.
Seed: 595598301, test failed, incorrect number of cards in hand.
Seed: 1813844931, test failed, incorrect number of cards in hand.
Seed: 161282450, test failed, incorrect number of cards in hand.
Seed: 186297589, test failed, incorrect number of cards in hand.
Seed: 1451104572, test failed, incorrect number of cards in hand.
Seed: 1353044344, test failed, incorrect number of cards in hand.
Seed: 1430043185, test failed, incorrect number of cards in hand.
Seed: 1635742077, test failed, incorrect number of cards in hand.
Seed: 543520193, test failed, incorrect number of cards in hand.
Seed: 1104835001, test failed, incorrect number of cards in hand.
Seed: 1199238081, test failed, incorrect number of cards in hand.
Seed: 1089936447, test failed, incorrect number of cards in hand.
Seed: 1476330329, test failed, incorrect number of cards in hand.
Seed: 899415670, test failed, incorrect number of cards in hand.
Seed: 468074312, test failed, incorrect number of cards in hand.
Seed: 1422131912, test failed, incorrect number of cards in hand.
Seed: 1028685734, test failed, incorrect number of cards in hand.
Seed: 639039019, test failed, incorrect number of cards in hand.
Seed: 1613593368, test failed, incorrect number of cards in hand.
Seed: 1408894932, test failed, incorrect number of cards in hand.
Seed: 1408282988, test failed, incorrect number of cards in hand.
Seed: 619028085, test failed, incorrect number of cards in hand.
Seed: 1831901268, test failed, incorrect number of cards in hand.
Seed: 1997579630, test failed, incorrect number of cards in hand.
Seed: 3135350, test failed, incorrect number of cards in hand.
Seed: 297937678, test failed, incorrect number of cards in hand.
Seed: 28330630, test failed, incorrect number of cards in hand.
Seed: 1861480197, test failed, incorrect number of cards in hand.
Seed: 2010580616, test failed, incorrect number of cards in hand.
Seed: 522432602, test failed, incorrect number of cards in hand.
Seed: 1792612476, test failed, incorrect number of cards in hand.
Seed: 1850477333, test failed, incorrect number of cards in hand.
Seed: 1916432363, test failed, incorrect number of cards in hand.
Seed: 1662481905, test failed, incorrect number of cards in hand.
Seed: 3944021, test failed, incorrect number of cards in hand.
Seed: 260151938, test failed, incorrect number of cards in hand.
Seed: 2080804038, test failed, incorrect number of cards in hand.
Seed: 1499797475, test failed, incorrect number of cards in hand.
Seed: 1704027135, test failed, incorrect number of cards in hand.
Seed: 1616851491, test failed, incorrect number of cards in hand.
Seed: 1179462846, test failed, incorrect number of cards in hand.
Seed: 698062745, test failed, incorrect number of cards in hand.
Seed: 1028771293, test failed, incorrect number of cards in hand.
Seed: 2038781820, test failed, incorrect number of cards in hand.
Seed: 342929681, test failed, incorrect number of cards in hand.
Seed: 229859180, test failed, incorrect number of cards in hand.
Seed: 1987769614, test failed, incorrect number of cards in hand.
Seed: 1711897771, test failed, incorrect number of cards in hand.
Seed: 1832917985, test failed, incorrect number of cards in hand.
Seed: 1426645115, test failed, incorrect number of cards in hand.
Seed: 1014118585, test failed, incorrect number of cards in hand.
Seed: 304981610, test failed, incorrect number of cards in hand.
Seed: 829565509, test failed, incorrect number of cards in hand.
Seed: 1664909786, test failed, incorrect number of cards in hand.
Seed: 1613861052, test failed, incorrect number of cards in hand.
Seed: 1589220614, test failed, incorrect number of cards in hand.
Seed: 514179235, test failed, incorrect number of cards in hand.
Seed: 520534944, test failed, incorrect number of cards in hand.
Seed: 1110428803, test failed, incorrect number of cards in hand.
Seed: 1563729863, test failed, incorrect number of cards in hand.
Seed: 806230559, test failed, incorrect number of cards in hand.
Seed: 1494896951, test failed, incorrect number of cards in hand.
Seed: 1994294456, test failed, incorrect number of cards in hand.
Seed: 1734756829, test failed, incorrect number of cards in hand.
Seed: 1551394222, test failed, incorrect number of cards in hand.
Seed: 1630319205, test failed, incorrect number of cards in hand.
Seed: 1072936584, test failed, incorrect number of cards in hand.
Seed: 1997940796, test failed, incorrect number of cards in hand.
Seed: 1529651697, test failed, incorrect number of cards in hand.
Seed: 1403151801, test failed, incorrect number of cards in hand.
Seed: 721374310, test failed, incorrect number of cards in hand.
Seed: 211533973, test failed, incorrect number of cards in hand.
Seed: 1239128596, test failed, incorrect number of cards in hand.
Seed: 1566093135, test failed, incorrect number of cards in hand.
Seed: 2090038875, test failed, incorrect number of cards in hand.
Seed: 1206029675, test failed, incorrect number of cards in hand.
Seed: 948080973, test failed, incorrect number of cards in hand.
Seed: 572506947, test failed, incorrect number of cards in hand.
Seed: 1509320920, test failed, incorrect number of cards in hand.
Seed: 274419726, test failed, incorrect number of cards in hand.
Seed: 944057498, test failed, incorrect number of cards in hand.
Seed: 1094058553, test failed, incorrect number of cards in hand.
Seed: 915916446, test failed, incorrect number of cards in hand.
Seed: 884441758, test failed, incorrect number of cards in hand.
Seed: 826742022, test failed, incorrect number of cards in hand.
Seed: 1275584419, test failed, incorrect number of cards in hand.
Seed: 781369416, test failed, incorrect number of cards in hand.
Seed: 151232397, test failed, incorrect number of cards in hand.
Seed: 1780436776, test failed, incorrect number of cards in hand.
Seed: 1630479224, test failed, incorrect number of cards in hand.
Seed: 1722575009, test failed, incorrect number of cards in hand.
Seed: 1902129393, test failed, incorrect number of cards in hand.
Seed: 1160144963, test failed, incorrect number of cards in hand.
Seed: 157583909, test failed, incorrect number of cards in hand.
Seed: 2028706573, test failed, incorrect number of cards in hand.
Seed: 2142122197, test failed, incorrect number of cards in hand.
Seed: 523208195, test failed, incorrect number of cards in hand.
Seed: 1410470904, test failed, incorrect number of cards in hand.
Seed: 2128183701, test failed, incorrect number of cards in hand.
Seed: 1156857537, test failed, incorrect number of cards in hand.
Seed: 1362958950, test failed, incorrect number of cards in hand.
Seed: 142722642, test failed, incorrect number of cards in hand.
Seed: 1086719650, test failed, incorrect number of cards in hand.
Seed: 875121955, test failed, incorrect number of cards in hand.
Seed: 1330271107, test failed, incorrect number of cards in hand.
Seed: 710678790, test failed, incorrect number of cards in hand.
Seed: 1711186061, test failed, incorrect number of cards in hand.
Seed: 65340108, test failed, incorrect number of cards in hand.
Seed: 1988008918, test failed, incorrect number of cards in hand.
Seed: 610916423, test failed, incorrect number of cards in hand.
Seed: 1769888011, test failed, incorrect number of cards in hand.
Seed: 923269363, test failed, incorrect number of cards in hand.
Seed: 993625229, test failed, incorrect number of cards in hand.
Seed: 1350957136, test failed, incorrect number of cards in hand.
Seed: 48905325, test failed, incorrect number of cards in hand.
Seed: 1628294597, test failed, incorrect number of cards in hand.
Seed: 352920392, test failed, incorrect number of cards in hand.
Seed: 2098906664, test failed, incorrect number of cards in hand.
Seed: 566552200, test failed, incorrect number of cards in hand.
Seed: 1985974593, test failed, incorrect number of cards in hand.
Seed: 1078845668, test failed, incorrect number of cards in hand.
Seed: 1654812135, test failed, incorrect number of cards in hand.
Seed: 1702929212, test failed, incorrect number of cards in hand.
Seed: 314842404, test failed, incorrect number of cards in hand.
Seed: 813055668, test failed, incorrect number of cards in hand.
Seed: 420379361, test failed, incorrect number of cards in hand.
Seed: 1876058258, test failed, incorrect number of cards in hand.
Seed: 583142951, test failed, incorrect number of cards in hand.
Seed: 1219737367, test failed, incorrect number of cards in hand.
Seed: 208907321, test failed, incorrect number of cards in hand.
Seed: 1171687472, test failed, incorrect number of cards in hand.
Seed: 816047466, test failed, incorrect number of cards in hand.
Seed: 1728396322, test failed, incorrect number of cards in hand.
Seed: 244300374, test failed, incorrect number of cards in hand.
Seed: 1166350878, test failed, incorrect number of cards in hand.
Seed: 34281814, test failed, incorrect number of cards in hand.
Seed: 1399122687, test failed, incorrect number of cards in hand.
Seed: 763895593, test failed, incorrect number of cards in hand.
Seed: 1682611029, test failed, incorrect number of cards in hand.
Seed: 61991252, test failed, incorrect number of cards in hand.
Seed: 1074821872, test failed, incorrect number of cards in hand.
Seed: 1796009300, test failed, incorrect number of cards in hand.
Seed: 861442692, test failed, incorrect number of cards in hand.
Seed: 348682865, test failed, incorrect number of cards in hand.
Seed: 2118478746, test failed, incorrect number of cards in hand.
Seed: 1612318042, test failed, incorrect number of cards in hand.
Seed: 1055591859, test failed, incorrect number of cards in hand.
Seed: 1713154189, test failed, incorrect number of cards in hand.
Seed: 286665143, test failed, incorrect number of cards in hand.
Seed: 587415291, test failed, incorrect number of cards in hand.
Seed: 269377853, test failed, incorrect number of cards in hand.
Seed: 992873802, test failed, incorrect number of cards in hand.
Seed: 332223775, test failed, incorrect number of cards in hand.
Seed: 807513291, test failed, incorrect number of cards in hand.
Seed: 1135538393, test failed, incorrect number of cards in hand.
Seed: 455746690, test failed, incorrect number of cards in hand.
Seed: 2108454855, test failed, incorrect number of cards in hand.
Seed: 131927799, test failed, incorrect number of cards in hand.
Seed: 1136216183, test failed, incorrect number of cards in hand.
Seed: 1869834483, test failed, incorrect number of cards in hand.
Seed: 1464168030, test failed, incorrect number of cards in hand.
Seed: 1289154067, test failed, incorrect number of cards in hand.
Seed: 949239208, test failed, incorrect number of cards in hand.
Seed: 1920175077, test failed, incorrect number of cards in hand.
Seed: 841390816, test failed, incorrect number of cards in hand.
Seed: 1039635605, test failed, incorrect number of cards in hand.
Seed: 792107597, test failed, incorrect number of cards in hand.
Seed: 102338631, test failed, incorrect number of cards in hand.
Seed: 1562411820, test failed, incorrect number of cards in hand.
Seed: 1589462289, test failed, incorrect number of cards in hand.
Seed: 1100079086, test failed, incorrect number of cards in hand.
Seed: 1540400311, test failed, incorrect number of cards in hand.
Seed: 490271922, test failed, incorrect number of cards in hand.
Seed: 357117102, test failed, incorrect number of cards in hand.
Seed: 1363306300, test failed, incorrect number of cards in hand.
Seed: 1316230103, test failed, incorrect number of cards in hand.
Seed: 478551171, test failed, incorrect number of cards in hand.
Seed: 959360987, test failed, incorrect number of cards in hand.
Seed: 803758468, test failed, incorrect number of cards in hand.
Seed: 550605140, test failed, incorrect number of cards in hand.
Seed: 751824822, test failed, incorrect number of cards in hand.
Seed: 1731056781, test failed, incorrect number of cards in hand.
Seed: 1055624322, test failed, incorrect number of cards in hand.
Seed: 1037434966, test failed, incorrect number of cards in hand.
Seed: 1256209259, test failed, incorrect number of cards in hand.
Seed: 371540628, test failed, incorrect number of cards in hand.
Seed: 433332759, test failed, incorrect number of cards in hand.
Seed: 1123842560, test failed, incorrect number of cards in hand.
Seed: 96221011, test failed, incorrect number of cards in hand.
Seed: 838778683, test failed, incorrect number of cards in hand.
Seed: 1139786242, test failed, incorrect number of cards in hand.
Seed: 85618059, test failed, incorrect number of cards in hand.
Seed: 878490684, test failed, incorrect number of cards in hand.
Seed: 264237429, test failed, incorrect number of cards in hand.
Seed: 2137521496, test failed, incorrect number of cards in hand.
Seed: 992473288, test failed, incorrect number of cards in hand.
Seed: 646477543, test failed, incorrect number of cards in hand.
Seed: 2108396916, test failed, incorrect number of cards in hand.
Seed: 559991256, test failed, incorrect number of cards in hand.
Seed: 926465684, test failed, incorrect number of cards in hand.
Seed: 1869868068, test failed, incorrect number of cards in hand.
Seed: 1784238601, test failed, incorrect number of cards in hand.
Seed: 1400263734, test failed, incorrect number of cards in hand.
Seed: 1983397870, test failed, incorrect number of cards in hand.
Seed: 346873530, test failed, incorrect number of cards in hand.
Seed: 1042273434, test failed, incorrect number of cards in hand.
Seed: 35791434, test failed, incorrect number of cards in hand.
Seed: 118233666, test failed, incorrect number of cards in hand.
Seed: 98669313, test failed, incorrect number of cards in hand.
Seed: 1353614146, test failed, incorrect number of cards in hand.
Seed: 1971502640, test failed, incorrect number of cards in hand.
Seed: 1026829174, test failed, incorrect number of cards in hand.
Seed: 578588683, test failed, incorrect number of cards in hand.
Seed: 2130482843, test failed, incorrect number of cards in hand.
Seed: 1085354612, test failed, incorrect number of cards in hand.
Seed: 1530236213, test failed, incorrect number of cards in hand.
Seed: 548930230, test failed, incorrect number of cards in hand.
Seed: 48470792, test failed, incorrect number of cards in hand.
Seed: 2015787603, test failed, incorrect number of cards in hand.
Seed: 549521250, test failed, incorrect number of cards in hand.
Seed: 1752889945, test failed, incorrect number of cards in hand.
Seed: 164841761, test failed, incorrect number of cards in hand.
Seed: 311222214, test failed, incorrect number of cards in hand.
Seed: 873670769, test failed, incorrect number of cards in hand.
Seed: 394591468, test failed, incorrect number of cards in hand.
Seed: 1101887836, test failed, incorrect number of cards in hand.
Seed: 1947213347, test failed, incorrect number of cards in hand.
Seed: 1389879514, test failed, incorrect number of cards in hand.
Seed: 2099225564, test failed, incorrect number of cards in hand.
Seed: 128293575, test failed, incorrect number of cards in hand.
Seed: 1587259527, test failed, incorrect number of cards in hand.
Seed: 561096293, test failed, incorrect number of cards in hand.
Seed: 1718367646, test failed, incorrect number of cards in hand.
Seed: 1601140701, test failed, incorrect number of cards in hand.
Seed: 330219359, test failed, incorrect number of cards in hand.
Seed: 713816348, test failed, incorrect number of cards in hand.
Seed: 1405447938, test failed, incorrect number of cards in hand.
Seed: 400430813, test failed, incorrect number of cards in hand.
Seed: 1037471175, test failed, incorrect number of cards in hand.
Seed: 406128585, test failed, incorrect number of cards in hand.
Seed: 1551017078, test failed, incorrect number of cards in hand.
Seed: 686718032, test failed, incorrect number of cards in hand.
Seed: 1266226783, test failed, incorrect number of cards in hand.
Seed: 28851839, test failed, incorrect number of cards in hand.
Seed: 682999052, test failed, incorrect number of cards in hand.
Seed: 1379589278, test failed, incorrect number of cards in hand.
Seed: 1804390486, test failed, incorrect number of cards in hand.
Seed: 632458238, test failed, incorrect number of cards in hand.
Seed: 1039688520, test failed, incorrect number of cards in hand.
Seed: 251866804, test failed, incorrect number of cards in hand.
Seed: 1627652778, test failed, incorrect number of cards in hand.
Seed: 705877127, test failed, incorrect number of cards in hand.
Seed: 164269073, test failed, incorrect number of cards in hand.
Seed: 1428958237, test failed, incorrect number of cards in hand.
Seed: 1134720145, test failed, incorrect number of cards in hand.
Seed: 1445334396, test failed, incorrect number of cards in hand.
Seed: 137133344, test failed, incorrect number of cards in hand.
Seed: 673858475, test failed, incorrect number of cards in hand.
Seed: 1696789186, test failed, incorrect number of cards in hand.
Seed: 2006093339, test failed, incorrect number of cards in hand.
Seed: 180790212, test failed, incorrect number of cards in hand.
Seed: 789552409, test failed, incorrect number of cards in hand.
Seed: 973004350, test failed, incorrect number of cards in hand.
Seed: 829254210, test failed, incorrect number of cards in hand.
Seed: 913946408, test failed, incorrect number of cards in hand.
Seed: 1094705354, test failed, incorrect number of cards in hand.
Seed: 1697409274, test failed, incorrect number of cards in hand.
Seed: 1601849528, test failed, incorrect number of cards in hand.
Seed: 1348030602, test failed, incorrect number of cards in hand.
Seed: 736071719, test failed, incorrect number of cards in hand.
Seed: 783611642, test failed, incorrect number of cards in hand.
Seed: 682720313, test failed, incorrect number of cards in hand.
Seed: 1006139418, test failed, incorrect number of cards in hand.
Seed: 1726364120, test failed, incorrect number of cards in hand.
Seed: 754038992, test failed, incorrect number of cards in hand.
Seed: 781127515, test failed, incorrect number of cards in hand.
Seed: 2139851414, test failed, incorrect number of cards in hand.
Seed: 525113339, test failed, incorrect number of cards in hand.
Seed: 1390301204, test failed, incorrect number of cards in hand.
Seed: 1705008484, test failed, incorrect number of cards in hand.
Seed: 230223769, test failed, incorrect number of cards in hand.
Seed: 24487779, test failed, incorrect number of cards in hand.
Seed: 360194593, test failed, incorrect number of cards in hand.
Seed: 2048377894, test failed, incorrect number of cards in hand.
Seed: 1030686661, test failed, incorrect number of cards in hand.
Seed: 865903356, test failed, incorrect number of cards in hand.
Seed: 2070023279, test failed, incorrect number of cards in hand.
Seed: 950417942, test failed, incorrect number of cards in hand.
Seed: 1262502769, test failed, incorrect number of cards in hand.
Seed: 1776348479, test failed, incorrect number of cards in hand.
Seed: 1097682783, test failed, incorrect number of cards in hand.
Seed: 2091279870, test failed, incorrect number of cards in hand.
Seed: 226791957, test failed, incorrect number of cards in hand.
Seed: 315892188, test failed, incorrect number of cards in hand.
Seed: 220824092, test failed, incorrect number of cards in hand.
Seed: 794118890, test failed, incorrect number of cards in hand.
Seed: 2065049655, test failed, incorrect number of cards in hand.
Seed: 286607727, test failed, incorrect number of cards in hand.
Seed: 1442634748, test failed, incorrect number of cards in hand.
Seed: 407583739, test failed, incorrect number of cards in hand.
Seed: 340532513, test failed, incorrect number of cards in hand.
Seed: 222736398, test failed, incorrect number of cards in hand.
Seed: 360384984, test failed, incorrect number of cards in hand.
Seed: 1768331164, test failed, incorrect number of cards in hand.
Seed: 1140150957, test failed, incorrect number of cards in hand.
Seed: 391555956, test failed, incorrect number of cards in hand.
Seed: 2063902893, test failed, incorrect number of cards in hand.
Seed: 1116046513, test failed, incorrect number of cards in hand.
Seed: 1873755787, test failed, incorrect number of cards in hand.
Seed: 1706520064, test failed, incorrect number of cards in hand.
Seed: 112492567, test failed, incorrect number of cards in hand.
Seed: 336079952, test failed, incorrect number of cards in hand.
Seed: 1412352088, test failed, incorrect number of cards in hand.
Seed: 657740858, test failed, incorrect number of cards in hand.
Seed: 863426415, test failed, incorrect number of cards in hand.
Seed: 1173112779, test failed, incorrect number of cards in hand.
Seed: 691227033, test failed, incorrect number of cards in hand.
Seed: 2104571869, test failed, incorrect number of cards in hand.
Seed: 724711212, test failed, incorrect number of cards in hand.
Seed: 1099305811, test failed, incorrect number of cards in hand.
Seed: 1032115366, test failed, incorrect number of cards in hand.
Seed: 1472270524, test failed, incorrect number of cards in hand.
Seed: 705541602, test failed, incorrect number of cards in hand.
Seed: 245685188, test failed, incorrect number of cards in hand.
Seed: 1671220801, test failed, incorrect number of cards in hand.
Seed: 1981149407, test failed, incorrect number of cards in hand.
Seed: 1815004945, test failed, incorrect number of cards in hand.
Seed: 884380720, test failed, incorrect number of cards in hand.
Seed: 1572225731, test failed, incorrect number of cards in hand.
Seed: 1124441145, test failed, incorrect number of cards in hand.
Seed: 949542470, test failed, incorrect number of cards in hand.
Seed: 55244544, test failed, incorrect number of cards in hand.
Seed: 1629151466, test failed, incorrect number of cards in hand.
Seed: 1954679, test failed, incorrect number of cards in hand.
Seed: 760143778, test failed, incorrect number of cards in hand.
Seed: 907042432, test failed, incorrect number of cards in hand.
Seed: 1538346644, test failed, incorrect number of cards in hand.
Seed: 882533392, test failed, incorrect number of cards in hand.
Seed: 1451114948, test failed, incorrect number of cards in hand.
Seed: 1063268355, test failed, incorrect number of cards in hand.
Seed: 2108972493, test failed, incorrect number of cards in hand.
Seed: 1478189253, test failed, incorrect number of cards in hand.
Seed: 1759086629, test failed, incorrect number of cards in hand.
Seed: 1334171316, test failed, incorrect number of cards in hand.
Seed: 643115613, test failed, incorrect number of cards in hand.
Seed: 2087623184, test failed, incorrect number of cards in hand.
Seed: 1759951170, test failed, incorrect number of cards in hand.
Seed: 373434493, test failed, incorrect number of cards in hand.
Seed: 1418333054, test failed, incorrect number of cards in hand.
Seed: 1279703550, test failed, incorrect number of cards in hand.
Seed: 471509183, test failed, incorrect number of cards in hand.
Seed: 254547417, test failed, incorrect number of cards in hand.
Seed: 1186041220, test failed, incorrect number of cards in hand.
Seed: 1349365938, test failed, incorrect number of cards in hand.
Seed: 905553986, test failed, incorrect number of cards in hand.
Seed: 177341994, test failed, incorrect number of cards in hand.
Seed: 114446043, test failed, incorrect number of cards in hand.
Seed: 898884538, test failed, incorrect number of cards in hand.
Seed: 821671518, test failed, incorrect number of cards in hand.
Seed: 1215915493, test failed, incorrect number of cards in hand.
Seed: 928295517, test failed, incorrect number of cards in hand.
Seed: 918688794, test failed, incorrect number of cards in hand.
Seed: 1864579259, test failed, incorrect number of cards in hand.
Seed: 1153362130, test failed, incorrect number of cards in hand.
Seed: 863781526, test failed, incorrect number of cards in hand.
Seed: 817351340, test failed, incorrect number of cards in hand.
Seed: 1201793808, test failed, incorrect number of cards in hand.
Seed: 434773416, test failed, incorrect number of cards in hand.
Seed: 1704273568, test failed, incorrect number of cards in hand.
Seed: 63837662, test failed, incorrect number of cards in hand.
Seed: 295403743, test failed, incorrect number of cards in hand.
Seed: 768685989, test failed, incorrect number of cards in hand.
Seed: 2078375597, test failed, incorrect number of cards in hand.
Seed: 1757762965, test failed, incorrect number of cards in hand.
Seed: 1570398526, test failed, incorrect number of cards in hand.
Seed: 1988978160, test failed, incorrect number of cards in hand.
Seed: 1105762087, test failed, incorrect number of cards in hand.
Seed: 1305679752, test failed, incorrect number of cards in hand.
Seed: 1099542683, test failed, incorrect number of cards in hand.
Seed: 2080416100, test failed, incorrect number of cards in hand.
Seed: 1843059140, test failed, incorrect number of cards in hand.
Seed: 1669289227, test failed, incorrect number of cards in hand.
Seed: 1683390372, test failed, incorrect number of cards in hand.
Seed: 807876480, test failed, incorrect number of cards in hand.
Seed: 1011822250, test failed, incorrect number of cards in hand.
Seed: 1860569230, test failed, incorrect number of cards in hand.
Seed: 1851441763, test failed, incorrect number of cards in hand.
Seed: 475936244, test failed, incorrect number of cards in hand.
Seed: 2099184520, test failed, incorrect number of cards in hand.
Seed: 2068542050, test failed, incorrect number of cards in hand.
Seed: 2030520163, test failed, incorrect number of cards in hand.
Seed: 763060708, test failed, incorrect number of cards in hand.
Seed: 800271662, test failed, incorrect number of cards in hand.
Seed: 2105698735, test failed, incorrect number of cards in hand.
Seed: 1561962917, test failed, incorrect number of cards in hand.
Seed: 1482628671, test failed, incorrect number of cards in hand.
Seed: 88955399, test failed, incorrect number of cards in hand.
Seed: 1411328416, test failed, incorrect number of cards in hand.
Seed: 982252738, test failed, incorrect number of cards in hand.
Seed: 284375163, test failed, incorrect number of cards in hand.
Seed: 1438455862, test failed, incorrect number of cards in hand.
Seed: 1233504624, test failed, incorrect number of cards in hand.
Seed: 967612224, test failed, incorrect number of cards in hand.
Seed: 2034298180, test failed, incorrect number of cards in hand.
Seed: 854332694, test failed, incorrect number of cards in hand.
Seed: 1452761072, test failed, incorrect number of cards in hand.
Seed: 1853451223, test failed, incorrect number of cards in hand.
Seed: 664598245, test failed, incorrect number of cards in hand.
Seed: 210205752, test failed, incorrect number of cards in hand.
Seed: 1440717170, test failed, incorrect number of cards in hand.
Seed: 1140734357, test failed, incorrect number of cards in hand.
Seed: 1660786730, test failed, incorrect number of cards in hand.
Seed: 676113243, test failed, incorrect number of cards in hand.
Seed: 2140932285, test failed, incorrect number of cards in hand.
Seed: 298171055, test failed, incorrect number of cards in hand.
Seed: 406291334, test failed, incorrect number of cards in hand.
Seed: 1528534902, test failed, incorrect number of cards in hand.
Seed: 1951488587, test failed, incorrect number of cards in hand.
Seed: 1978062493, test failed, incorrect number of cards in hand.
Seed: 1350662682, test failed, incorrect number of cards in hand.
Seed: 857658880, test failed, incorrect number of cards in hand.
Seed: 230292163, test failed, incorrect number of cards in hand.
Seed: 1554562425, test failed, incorrect number of cards in hand.
Seed: 1491254791, test failed, incorrect number of cards in hand.
Seed: 1939334, test passed.
Seed: 2113911953, test failed, incorrect number of cards in hand.
Seed: 1187407831, test failed, incorrect number of cards in hand.
Seed: 2060328616, test failed, incorrect number of cards in hand.
Seed: 478166999, test failed, incorrect number of cards in hand.
Seed: 1629289684, test failed, incorrect number of cards in hand.
Seed: 1495484400, test failed, incorrect number of cards in hand.
Seed: 1395587558, test failed, incorrect number of cards in hand.
Seed: 1483885895, test failed, incorrect number of cards in hand.
